cus_id,cus_name,product_id,product_description,zone,aisle,rack,level,on_hand,marked,available
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 12 , B4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 13 , A4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 14 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 15 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 17 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 18 , B4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 20 , B4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 21 , B3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 21 , B4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 21 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 24 , A1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 24 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 25 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 27 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 27 , C4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 27 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 27 , D4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 28 , A1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 28 , A2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 28 , A4 ,200,0,200
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 28 , B1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 28 , B2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 29 , B2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 29 , D1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 29 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 30 , D1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 30 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 30 , D3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 30 , D4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 31 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 31 , C3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 31 , C4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 32 , D1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 32 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 32 , D3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 32 , D4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 39 , A4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 40 , C1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 40 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 42 , B2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 42 , B4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 44 , B1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 45 , B2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 46 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E03 , 46 , C3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 01 , C1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 01 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 01 , D3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 03 , B1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 03 , D1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 03 , D2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 03 , D3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 05 , A3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 05 , B1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 06 , A4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 06 , B3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 07 , C2 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 08 , A1 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 08 , A4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 08 , C3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 08 , C4 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 09 , A3 ,300,0,300
  CUS529 , Resideo,WV8840C1406/P,"NG, 1.5” BRACKET, 4.0” W.C., TEMPERATURE ",East , E04 , 09 , C1 ,300,0,300
